	IDRegent	IDBron	deel en paginanummer
10151	476	424	XII, 54.
10152	5536	482	inleiding, leenmannenboek
10153	758	474	inleiding.
10154	4336	407	nr. 124-138.
10155	475	424	XII, 54.
10156	661	425	p. 69.
10157	3755	407	nr. 89, 140, 148, 200.
10158	2574	425	p. 69
10159	3878	416	64.
10160	3878	407	nr. 165.
10161	4361	417	1 (1897), 150.
10162	814	417	1 (1897) 150.
10163	810	417	1 (1897) 150.
10164	808	417	1 (1897) 150.
10165	1453	417	1 (1897) 150.
10166	3594	417	1 (1897) 150.
10167	1075	417	1 (1897) 150.
10168	5666	272	1853.
10169	686	425	p. 68.
10170	295	425	p. 77.
10171	669	425	p. 68.
10172	4585	425	p. 68.
10173	323	425	p. 67.
10174	4173	428	370-374.
10175	2782	300	3788, 5022.
10176	5506	571	nr. 194.
10177	337	428	361.
10178	338	428	364-365..
10179	1086	428	374-375.
10180	354	428	375-376.
10181	3391	430	64, 90, 93, 104, 120, 132.
10182	1077	430	27, 47
10183	3444	434	15, 21, 27, 32, 34, 83, 86, 91, 98, 110.
10184	4975	434	15, 29, 107.
10185	1015	433	6, 15.
10186	4435	434	41, 66, 107.
10187	322	300	7157.
10188	524	300	7157.
10189	5155	300	7157.
10190	1002	435	nr. 0421.
10191	3855	435	nr. 0174, 0175.
10192	516	300	8514.
10193	521	300	1181.
10194	313	300	1181
10195	752	435	nr. 0033.
10196	517	435	nr. 0098.
10197	1005	435	nr. 0308.
10198	5227	435	nr. 0109, 0125.
10199	3464	435	nr. 0440, 0445.
10200	29	107	9453, 11598, 11815.
10201	2137	181	152+153.
10202	1978	436	107.
10203	3071	436	113-117.
10204	1602	520	nr. 1430, 1434.
10205	4570	435	nr. 0029.
10206	434	436	101.
10207	2424	436	123-124.
10208	2609	436	132-133.
10209	2785	436	133-138.
10210	2205	400	nr. 1244, f. 11, f. 79.
10211	2783	407	nr.12, 24, 62, 124.
10212	330	182	nr. 6.
10213	2889	173	21, 22.
10214	3811	400	nr. 1538, f. 29v.
10215	453	400	nr. 1438, f. 41.
10216	806	482	inleiding, transcripties nr. 17.
10217	325	400	nr. 1213, f. 112v, f. 127.
10218	691	400	nr. 1949, f. 11v; 1539, f. 37.
10219	374	422	nr. 127, f. 8v.
10220	1115	447	regest nr. 487, 490.
10221	969	400	nr. 1949, f. 11v; 1614, f. 32v.
10222	868	444	6.
10223	2174	307	604, 607, 729.
10224	448	400	1439, f. 114.
10225	440	437	4.2.01, schouten van Pernis
10226	469	437	4.2.02 schouten van 's-Gravenambacht
10227	1009	438	nr. 28.
10228	687	438	nr. 35.
10229	428	438	nr. 74.
10230	1006	438	nr. 209.
10231	3429	438	nr. 204.
10232	689	422	nr. 144, f. 10v.
10233	5388	359	214, 233.
10234	783	400	nr. 1376, f. 27v.
10235	866	400	nr. 1616, f. 34v.
10236	315	423	III, 49-50.
10237	2877	173	1667.
10238	585	237	nr. 796, 810, 815, 816.
10239	914	400	nr. 210, f. 33; 211, f. 12.
10240	5003	400	nr. 210, f. 33; 1279, f. 15v; 1924, f. 13v; 1925, f. 10.
10241	2077	400	nr. 210, f. 33; 1279, f. 15v; 1924, f. 13v; 1925, f. 10.
10242	1613	422	nr. 128, f. 28v.
10243	1001	587	nr. 2836.
10244	1004	442	nr. 1097. 405
10245	451	442	1097. 405.
10246	442	442	nr. 0986. 224
10247	1474	587	nr. 916.
10248	2370	151	IV-1, p. 80.
10249	3015	359	670, 673+674, 676,  677+678.
10250	990	587	nr.1139.
10251	2054	487	273.
10252	3433	443	nr. 514.
10253	430	443	nr. 213.
10254	5315	443	nr. 184.
10255	585	293	p. 803n, 816-818, 820, 821, 823, 824.
10256	1106	445	3 (1912) 295.
10257	2360	444	15-26.
10258	3125	444	26, 29.
10259	1114	444	28-29.
