	IDRegent	IDBron	deel en paginanummer
910	625	5	471.
911	625	19	232.
912	626	19	198.
913	628	8	46 (1953) 553.
914	628	12	IX, 1320.
915	628	19	216.
916	629	9	85.
917	629	20	162.
918	631	5	370.
919	631	7	75 (1991) 23.
920	632	2	178.
921	635	12	IX, 1124.
922	635	15	20.
923	636	8	46 (1953), 186.
924	636	12	IX, 1238.
925	636	15	21.
926	637	2	36.
927	637	4	II, 157.
928	637	5	172.
929	637	12	VIII, 101.
930	639	2	124.
931	639	4	VI, 429.
932	639	5	195.
933	639	7	77 (1993) 318.
934	639	12	VIII, 867.
935	639	15	17.
936	640	4	VII, 43.
937	640	5	198.
938	640	12	IX, 458.
939	641	5	199.
940	641	12	IV, 813.
941	642	2	145.
942	642	5	204.
943	642	12	IX, 561.
944	643	2	161.
945	643	5	207.
946	643	7	66 (1982) 197.
947	643	12	IV, 925.
948	645	2	227.
949	645	5	222.
950	645	12	V, 837.
951	646	5	232.
952	648	7	31 (1945) 115.
953	649	2	171.
954	649	4	VIII, 276.
955	649	7	38 (1952) 235.
956	649	12	IX, 682.
957	649	15	19.
958	651	2	215.
959	651	4	X, 219.
960	651	12	V, 746.
961	652	4	X, 302.
962	653	4	III, 85.
963	653	9	61.
964	653	10	385.
965	653	12	III, 214.
966	654	17	385.
967	655	4	X, 230.
968	655	17	386.
969	656	7	12 (1921/1922) 61.
970	656	12	II, 190.
971	656	17	387.
972	657	2	200.
973	657	9	146.
974	657	17	389.
975	658	5	187.
976	658	17	385.
977	659	2	49.
978	659	17	391.
979	660	5	163.
980	660	17	392.
981	661	17	393.
982	662	17	394.
983	663	17	395.
984	664	2	83.
985	664	17	396.
986	665	17	397.
987	666	4	IX, 1.
988	666	12	V, 413.
989	666	17	398.
990	667	3	no. 0057
991	667	17	400.
992	668	17	401.
993	669	17	401.
994	670	17	403.
995	671	17	404.
996	672	17	405.
997	673	17	406.
998	674	17	407.
999	675	4	IV, 106.
1000	675	12	IV, 529.
1001	675	17	408.
1002	676	2	89.
1003	676	17	409.
1004	677	17	410.
1005	678	4	VI, 42.
1006	678	7	49 (1963) 141.
1007	678	12	IV, 606.
1008	678	17	414.
1009	679	7	9 (1918) 390.
1010	679	12	X, 1165.
1011	679	16	291.
1012	679	17	416.
1013	680	16	290.
1014	680	17	416.
1015	681	4	II, 124.
1016	681	12	X, 53.
1017	681	16	283.
1018	681	17	418.
1019	682	2	19.
1020	682	12	IX, 1-2.
1021	683	2	19.
1022	684	2	20.
1023	684	5	162.
1024	685	2	20.
1025	685	12	X, 12.
1026	686	2	20.
1027	686	8	79 (1988) 71.
1028	686	9	99.
1029	687	2	21.
1030	687	3	no. 39
1031	687	5	164.
1032	687	12	IX, 20.
1033	688	2	22.
1034	688	3	no. 4683
1035	688	12	IX, 22.
1036	689	2	22.
1037	690	2	24.
1038	691	2	24.
1039	692	2	25.
1040	692	12	VII, 50.
1041	693	2	26.
1042	693	4	I, 138.
1043	693	8	79 (1988) 170.
1044	693	9	100.
1045	693	12	VII, 58.
1046	694	2	27.
1047	694	3	nr. 0083.
1048	694	5	76.
1049	694	12	III, 51.
1050	694	16	283.
1051	695	2	28.
1052	696	2	28.
1053	696	5	168.
1054	697	2	29.
1055	698	2	30.
1056	698	5	421.
1057	698	19	138.
1058	699	2	30.
1059	699	3	no. 0174
1060	699	12	IX, 46.
1061	700	2	31.
1062	701	2	32.
1063	701	4	II, 115.
1064	701	5	78.
1065	701	12	IX, 48.
1066	702	2	32.
1067	702	8	79 (1988) 485.
1068	702	12	IV, 139.
1069	703	2	35.
1070	703	3	no. 0234
1071	703	4	II, 156.
1072	703	5	171.
1073	703	8	79 (1988) 541.
1074	703	12	VIII 94.
1075	704	2	40.
1076	704	3	no. 4181
1077	705	2	40.
1078	706	2	41.
1079	707	2	41.
1080	708	2	43.
1081	708	4	bijvoegsel, 37.
1082	708	12	VIII, 156.
1083	708	16	264.
1084	709	2	43.
1085	710	2	44.
1086	710	8	80 (1989) 148.
1087	710	9	152.
1088	711	2	45.
1089	712	2	46.
1090	712	5	647.
1091	713	2	46.
1092	713	5	648.
1093	714	2	46.
1094	714	12	IX, 85.
1095	715	2	47.
1096	715	4	II, 304.
1097	715	12	II, 217.
1098	716	2	48.
1099	718	2	51.
1100	718	4	II, 391.
1101	718	12	IV, 295.
1102	719	2	51.
1103	720	2	52.
1104	720	4	II, 443.
1105	720	12	IV, 320.
1106	721	2	53.
1107	722	2	53.
1108	722	12	IV, 346.
1109	723	2	54.
1110	723	4	II, 505.
1111	723	9	139.
1112	724	2	54.
1113	725	2	55.
1114	725	5	652.
1115	726	2	55.
1116	726	4	II, 524.
1117	726	8	80 (1989) 611.
1118	726	9	71.
1119	726	12	IV, 377.
1120	727	2	56.
1121	727	4	II, 526.
1122	727	12	I, 532.
1123	727	16	284.
1124	728	2	59.
1125	728	16	284.
1126	729	2	60.
1127	729	12	IX, 128.
1128	730	2	60.
1129	730	3	no. 4267
1130	730	4	III, 72.
1131	730	12	III, 265.
1132	730	16	266.
1133	731	2	61.
