	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
554	1677	Brant		1.0	5.0	Jan	0					0	1468.0	0	Overig: deken van St.-Maartensdijk 1456-1468.	0
555	1678	Buiten	van	1.0	1.0	Dirk	0					0		0		0
556	1680	Cock van Opijnen	de	11.0	1.0	Roeland Gerrit	1		Middelharnas			0		0		0
557	1684	Cranenburch	van	1.0	1.0	Floris Jansz.	0					0		0		0
558	1688	Delft	van	1.0	3.0	Gerrit	0					0		0		0
559	1692	Dorsschen	van	1.0	1.0	Jan	0					0		0		0
560	1694	Dussen	van der	1.0	1.0	Floris	0					0	1458.0	0		0
561	1696	Willemsz.		1.0	1.0	Floris	0					0		0		0
562	1698	Goude	van	1.0	1.0	Dirk	0					0		0		0
563	1699	Grijp		1.0	1.0	Klaas	0					0		0	Overig: secretaris en klerk van Frank van Borselen 1453-1461.	0
564	1524	Frederik		1.0	1.0		0					0		0	mogelijk dezelfde als Frederic Tak, vermeld in stadsrekening Dordrecht 1395; familie van Jacob Tak.	0
565	1701	Hage	uten (uut den)	1.0	1.0	Gerrit	0					0		0		0
