	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
346	706	2	opzichter der gebouwen	0	0	0
347	707	2	translateur Duits	0	0	0
348	708	2	commies Buitenlandse Zaken en Agent	0	0	0
349	709	2	secretaris commissie Binnenlandse Correspondentie	0	0	0
350	710	2	klerk-indexmaker	0	0	0
351	711	2	expediteur	0	0	0
352	712	2	extraordinaris expediteur	0	0	0
353	713	2	assistant	0	0	0
354	714	2	secrétaire Conseil Général	0	0	0
355	715	2	secretaris departement van de jacht	0	0	0
356	716	2	ontvanger-generaal Holland	0	0	0
357	717	2	intendant	0	0	0
358	718	2	grand-trésorier	0	0	0
359	719	2	amanuensis	0	0	0
360	720	2	censeur	0	0	0
361	721	2	adjunct hoofdcommies	0	0	0
362	722	2	commies chartermeester	0	0	0
363	723	2	directeur correspondentie	0	0	0
364	724	2	boodschapper van staat	0	0	0
365	725	2	gecommitteerde	0	0	0
366	426	2	secretaris onder orders van de Provisionele raad van Regentschap	0	0	0
