	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
488	452	0	baljuw van Monster (op Borselen)	0	0	0
489	453	0		0	0	0
490	454	0	schout van Egmond aan Zee	0	0	0
491	455	0	kapitein van Voorne	0	0	0
492	456	0	baljuw van Wieringen	0	0	0
493	457	0	schout van Valkenburg	0	0	0
494	458	0	schout van Katwijk	0	0	0
495	459	0	drossaard van half-Asperen	0	0	0
496	460	0	schout van Sassenheim	0	0	0
497	461	0	baljuw van Goedereede	0	0	0
498	462	0	baljuw van De Lier	0	0	0
499	463	0	schout van De Lier	0	0	0
500	464	0	schout van Kudelstaart	0	0	0
501	465	0	schout van Leimuiden	0	0	0
502	466	0	schout van Vriezekoop	0	0	0
503	467	0	schout van Rijnsaterwoude	0	0	0
504	468	0	rentmeester van Arkel	0	0	0
505	469	0	rentmeester van Asperen	0	0	0
506	470	0	baljuw van Vlissingen	0	0	0
507	471	0	schout van Waddinxveen	0	0	0
508	472	0	onderhoutvester op Teilingen	0	0	0
509	473	0	baljuw van Texel	0	0	0
510	474	0	kastelein van Heemskerk	0	0	0
511	475	0	baljuw van Westvoorne	0	0	0
512	477	0	schout van Vlaardingen	0	0	0
513	478	0	kapitein van Duiveland	0	0	0
514	479	0	baljuw van Poortvliet	0	0	0
515	480	0	kapitein van Walcheren	0	0	0
516	481	0	baljuw van Zeeland Beoosterschelde	0	0	0
517	482	0	stadhouder van Zeeland	0	0	0
518	483	0	rentmeester van Westvoorne	0	0	0
519	484	0	overste kapitein	0	0	0
520	485	0	drossaard van Arkel	0	0	0
521	486	0	schout van Zierikzee	0	0	0
522	487	0	essayeur	0	0	0
523	488	0	dijkgraaf van het nieuwe land in Riederwaard	0	0	0
524	489	0	schout van Bovenkarspel	0	0	0
525	490	0	grafelijk tresorier	0	0	0
526	491	0		0	0	0
527	492	0	gouverneur van Holland	0	0	0
528	494	0	zegelbewaarder	0	0	0
529	495	0	schout van Geertruidenberg	0	0	0
530	496	0	tollenaar van Amsterdam	0	0	0
531	497	0	stadhouder van Noordholland	0	0	0
532	498	0	kastelein	0	0	0
533	499	0	dijkgraaf tussen Honte en Hinkele (Zuid-Beveland)	0	0	0
534	500	0	baljuw van Zeeland	0	0	0
535	501	0	kapitein van Staveren	0	0	0
536	502	0	baljuw van Oostvoorne	0	0	0
537	503	0	tollenaar van Ammers	0	0	0
538	504	0	tollenaar van Strienemonde	0	0	0
539	505	0	kapitein van Naarden	0	0	0
540	506	0	dijkgraaf tussen Lek en Merwede	0	0	0
541	507	0	baljuw van Iersike	0	0	0
542	508	0	kapitein van Reimerswaal	0	0	0
543	509	0	kapitein van Zuid-Beveland	0	0	0
544	510	0	dijkgraaf van Zuidholland	0	0	0
545	511	0	baljuw van Mijnden	0	0	0
546	512	0	rentmeester van Egmond	0	0	0
547	513	0	muntmeester van Holland	0	0	0
548	514	0	tresorier van Holland	0	0	0
549	515	0	baljuw van Oosthuizen	0	0	0
550	516	0	kapitein van Woudrichem	0	0	0
551	517	0	rekenmeester van Holland	0	0	0
552	518	0	schout van Rotterdam	0	0	0
553	519	0	tollenaar van Heusden	0	0	0
554	520	0		0	0	0
555	521	0	kapitein van Borsele	0	0	0
556	522	0	schout van Spaarndam	0	0	0
557	523	0	kapitein van Maasland	0	0	0
558	524	0	kapitein van Ijsselstein	0	0	0
559	525	0		0	0	0
560	526	0	schout van Schoorl	0	0	0
561	527	0	kapitein van West-Friesland	0	0	0
562	528	0		0	0	0
563	529	0	schout van Medemblik	0	0	0
564	530	0		0	0	0
565	531	0	schout van Strienemonde	0	0	0
566	532	0	stadhouder van de baljuw	0	0	0
567	533	0	kastelein van Purmerend	0	0	0
568	534	0	baljuw van Veere	0	0	0
569	535	0	drossaard van Vianen	0	0	0
570	536	0	drossaard van Ameide	0	0	0
571	537	0	gouverneur van Leerdam	0	0	0
572	538	0	schout van Schiedam	0	0	0
573	539	0	rentmeester van Rijnsburg (abdij)	0	0	0
574	540	0	schout van Serooskerke	0	0	0
575	541	0	baljuw	0	0	0
576	542	0	kastelein van het Land van Arkel	0	0	0
577	543	0	tresorier van Gouda	0	0	0
578	544	0	gouverneur-generaal der Nederlanden	0	0	0
579	545	0	stadhouder van Holland	0	0	0
580	546	0	rentmeester van Rijnland	0	0	0
581	547	0	stadhouder-generaal	0	0	0
582	548	0	schout van Hillegersberg	0	0	0
583	549	0	kapitein van Hoorn	0	0	0
584	550	0	kastelein van Oudewater	0	0	0
585	551	0	kastelein van Nijenburg	0	0	0
586	552	0	baljuw van Naarden	0	0	0
587	553	0	baljuw van Weesp	0	0	0
588	554	0	kastelein van Naarden	0	0	0
589	555	0	kastelein van Weesp	0	0	0
590	556	0	kapitein van Loenersloot	0	0	0
591	557	0	drossaard van Ijsselstein	0	0	0
