	IDRegent	IDBron	deel en paginanummer
521	192	134	33 (1915) 59.
522	192	149	7 (1998) 25.
523	192	176	
524	193	120	84.
525	193	134	32 (1914) 366.
526	193	149	7 (1998) 225.
527	193	176	
528	194	120	84, 86.
529	194	134	32 (1914) 364, 33 (1915) 60 (verbeteringen).
530	194	149	7 (1998) 18.
531	194	176	
532	195	134	32 (1914) 367.
533	195	149	8 (1999) 13.
534	195	176	
535	196	13	
536	196	19	230.
537	196	147	(1995) 100.
538	197	13	
539	197	15	54 (1968) 305.
540	198	4	7 (1909) 35.
541	198	13	
542	198	15	31 (1945) 16.
543	198	29	328.
544	199	13	
545	199	135	9 (1892) 99.
546	199	136	22 (1918) 205.
547	200	13	
548	200	134	33 (1915) 234.
549	200	137	1 (1906) 60.
550	201	13	
551	201	134	24 (1906) 136.
552	202	8	201.
553	202	13	
554	202	15	8 (1917) 123.
555	203	4	39 (1941) 224.
556	203	13	
557	203	132	196.
558	204	13	
559	205	13	
560	205	15	47 (1961) 121.
561	206	13	
562	206	15	47 (1961) 122.
563	207	13	
564	208	4	40 (1942) 453.
565	208	13	
566	209	13	
567	210	4	85 (1995) 217.
568	210	13	
569	211	13	
570	212	13	
571	213	6	2, 739.
572	213	13	
573	214	13	
574	214	132	196.
575	215	13	
576	216	13	
577	216	137	2 (1907) 84.
578	217	13	
579	218	13	
580	218	125	5 (1951) 159.
581	219	13	
582	220	13	
583	221	13	
584	222	13	
585	223	13	
586	223	15	44 (1958) 291.
587	224	13	
588	225	13	
589	225	136	4 (1900) 105.
590	225	137	1 (1906) 98.
591	226	13	
592	226	29	318.
593	227	13	
594	228	13	
595	228	15	4 (1913) 44.
596	228	29	323.
597	229	13	
598	229	15	17 (1927) 153.
599	230	13	
600	230	31	628.
601	231	13	
602	232	13	
603	233	13	
604	234	13	
605	234	38	1 (1900) 149.
606	234	125	2 (1948) 31, 39.
607	234	134	33 (1915) 151.
608	235	13	
609	236	13	
610	237	13	
611	238	13	
612	239	13	
613	239	15	4 (1913) 39.
614	239	135	9 (1892) 99.
615	240	13	
616	240	136	15 (1911) 36.
617	241	13	
618	242	13	
619	243	13	
620	244	13	
621	244	136	4 (1900) 262.
622	245	13	
623	245	134	100 (1983) 433.
624	246	4	82 (1992) 124.
625	247	4	38 (1940) 174, 198.
626	247	16	1, 301.
627	248	8	267.
628	248	16	8, 150.
629	248	113	277.
630	249	14	5 (1893) 99.
631	249	16	6, 442.
632	250	4	46 (1953) 256.
633	250	16	2, 1539.
634	251	33	1, 214.
635	252	33	1, 215.
636	253	33	1, 215-216.
637	254	127	69.
638	255	36	1137.
639	256	33	1, 214.
640	257	33	1, 215.
641	258	4	82 (1992) 114.
642	258	6	2, 678.
643	259	33	1, 216.
644	259	125	10 (1956) 71.
645	260	4	4 (1906) 553.
646	260	15	38 (1952) 376.
647	260	33	1, 216.
648	260	135	5 (1888) 101.
649	261	36	1103.
650	263	4	44 (1951) 334.
651	263	33	1, 216.
652	263	136	8 (1904) 460.
653	264	120	90.
654	264	134	33 (1915) 73.
655	264	136	22 (1918) 159.
656	264	176	
657	265	16	5, 818.
658	265	125	9 (1955) 129, 29 (1975) 249.
659	266	33	1, 216.
660	266	137	8 (1913) 436.
661	267	120	90.
662	267	134	33 (1915) 72.
663	267	136	22 (1918) 158.
664	267	149	6 (1997) 227.
665	267	176	
666	268	33	1, 216-217.
667	268	125	5 (1951) 135.
668	269	4	45 (1952) 336.
669	269	15	50 (1964) 427.
670	269	33	1, 216.
671	269	137	9 (1914) 223.
672	270	120	88.
673	270	134	32 (1914) 364.
674	270	136	22 (1918) 156.
675	270	149	6 (1997) 228.
676	270	176	
677	271	120	84, 86.
678	271	134	32 (1914) 366.
679	271	136	22 (1918) 153.
680	271	149	6 (1997) 227.
681	271	176	
682	272	4	82 (1992) 91.
683	272	135	3 (1886) 266.
684	272	138	3 (1874) 332.
685	273	115	
686	273	135	17 (1905) 397.
687	274	115	
688	274	125	9 (1955) 130.
689	275	6	2, 677.
690	276	15	20 (1931-1932) 189.
691	277	115	
692	278	33	1, 211.
693	278	36	1248.
694	279	120	88.
695	279	123	
696	279	134	32 (1914) 324.
697	279	149	6 (1997) 281.
698	279	176	
699	280	4	40 (1942) 668.
700	280	115	
701	280	125	40 (1986) 206.
702	281	115	
703	282	125	25 (1971) 169.
704	283	120	90.
705	283	123	
706	283	134	33 (1915), 58, 78 (verbeteringen).
707	283	149	7 (1998) 189.
708	283	176	
709	284	15	50 (1964) 320.
710	284	115	
711	284	125	40 (1986) 226.
712	285	15	50 (1964) 321.
713	285	16	7, 302.
714	285	115	
715	286	120	89.
716	286	134	33 (1915) 16.
717	286	137	9 (1914) 391.
718	286	149	8 (1999) 9.
719	286	176	
720	287	125	40 (1986) 206.
721	288	125	40 (1986) 217.
722	289	120	91.
723	289	123	
724	289	134	33 (1915) 222.
725	289	136	22 (1918) 205.
726	289	149	6 (1997) 226.
727	290	120	91.
728	290	134	33 (1915) 225.
729	290	149	7 (1998) 20.
730	291	134	24 (1906) 131, 33 (1915) 232.
731	291	149	7 (1998) 226.
732	292	123	
733	292	134	33 (1915) 235.
734	292	135	9 (1892) 97.
735	292	149	6 (1997) 220.
736	293	134	33 (1915) 236.
737	293	136	22 (1918) 301.
738	293	149	6 (1997) 228.
739	294	134	33 (1915) 235.
740	294	135	9 (1892) 100.
741	294	149	6 (1997) 281.
742	295	123	
743	295	134	33 (1915) 239.
744	295	149	7 (1998) 186.
745	296	38	1 (1900) 148.
746	296	134	33 (1915) 282.
747	296	149	7 (1998) 221.
748	297	134	24 (1906) 135, 33 (1915) 284.
749	297	149	7 (1998) 23.
750	298	134	33 (1915) 280.
751	298	149	7 (1998) 127.
752	299	15	42 (1956) 30.
753	299	16	6, 26.
754	299	134	33 (1915) 340.
755	299	149	6 (1997) 221.
756	300	15	10 (1919) 117.
757	300	43	348.
758	300	134	33 (1915) 344.
759	300	149	7 (1998) 123.
760	301	134	34 (1916) 23.
761	301	149	7 (1998) 223.
762	302	134	33 (1915) 342.
763	302	149	7 (1998) 186.
764	303	134	33 (1915) 345.
765	303	149	8 (1999) 10.
766	304	134	34 (1916) 49.
767	304	149	7 (1998) 222.
768	305	9	382.
769	305	15	2 (1911) 96.
770	306	9	408.
771	307	4	87 (1998) 253.
772	307	9	396.
773	307	125	59 (2005) 143.
774	308	9	376.
775	309	9	381.
776	310	9	393.
777	311	9	412.
778	312	9	414.
779	313	9	395.
780	314	9	375.
781	315	4	79 (1988) 502.
782	315	9	415.
783	316	9	390.
784	316	131	
785	318	6	2, 827.
786	319	6	2, 705.
787	321	6	2, 800.
788	322	6	2, 805.
789	323	6	2, 822.
790	324	6	2, 905.
791	325	6	2, 842.
792	326	6	2, 918.
793	327	6	2, 923.
794	328	6	2, 933.
795	329	6	2, 951.
796	329	15	71 (1987) 12.
797	330	6	2, 970.
798	331	11	346.
799	332	11	381.
800	333	11	366.
801	334	11	335.
802	335	11	362.
803	336	11	377.
804	337	11	365.
805	337	61	12.
806	338	29	297.
807	339	29	325.
808	339	125	8 (1954) 37.
809	339	135	9 (1892) 98.
810	340	15	16 (1926) 51.
811	340	29	348.
812	341	29	351.
813	342	29	356.
814	343	29	354.
815	344	15	57 (1971) 89.
816	344	29	380
817	345	134	33 (1915) 109.
818	345	149	8 (1999) 15.
819	345	176	
820	346	37	252.
821	346	120	87.
