	IDRegent	IDBron	deel en paginanummer
447	2986	1	44 (1951) 82.
448	2987	1	44 (1951) 215.
449	2988	2	77 (1993) 486.
450	2989	6	X, 238.
451	2990	1	46 (1953) 16.
452	2990	3	IX, 1162.
453	2994	3	X, 1166.
454	2995	2	82 (1999) 345.
455	2996	2	21 (1933/1934) 469.
456	2997	1	79 (1988) 374.
457	2998	1	79 (1988) 367.
458	2998	3	II, 125.
459	2999	2	78 (1994) 20.
460	2999	13	66.
461	3000	1	81 (1990/1991) 389.
462	3000	3	I, 693.
463	3001	2	13 (1923) 58.
464	3002	3	IV, 601.
465	3003	1	83 (1993) 13.
466	3005	1	84 (1994) 63.
467	3005	3	VI, 666.
468	3005	13	98.
469	3006	1	84 (1994) 432.
470	3006	3	IX, 350.
471	3007	2	46 (1960) 117.
472	3007	13	110.
473	3008	1	85 (1995) 57.
474	3009	1	86 (1996/1997) 81.
475	3009	3	VII, 639.
476	3010	1	86 (1996/1997) 100.
477	3010	3	VII, 644.
478	3014	1	88 (1999) 374.
479	3015	2	18 (1928/1929) 128.
480	3016	3	VII, 930.
481	3018	3	VIII, 1261.
482	3018	13	189.
483	3019	1	43 (1950)  175.
484	3019	3	IV, 1126.
485	3020	1	43 (1950)  166.
486	3021	1	44 (1951) 377.
487	3021	3	X, 929.
488	3022	1	44 (1951) 384.
489	3022	3	X, 930.
490	3023	2	43 (1957) 281.
491	3024	3	IX, 1125.
492	3027	1	46 (1953) 170.
493	3028	2	68 (1984) 345.
494	3029	1	46 (1953) 507.
495	3030	2	30 (1944) 8.
496	3030	13	22.
497	3031	2	3 (1912) 13.
498	3032	2	5 (1914) 11.
499	3032	3	II, 65.
500	3033	2	7 (1916) 28; 58 (1972) 29.
501	3034	2	31 (1945) 9.
502	3034	3	I, 345.
503	3035	2	4 (1913) 44.
504	3035	3	IV, 151.
505	3036	2	4 (1913) 48.
506	3037	1	79 (1988) 598.
507	3037	3	VIII, 130.
508	3041	2	9 (1918) 78.
509	3041	3	VI, 360.
510	3045	1	82 (1992) 5.
511	3047	1	82 (1992) 330.
512	3047	3	III, 392.
513	3048	3	IV, 624.
514	3050	1	83 (1993) 143.
515	3051	1	83 (1993) 162.
516	3051	3	III, 463.
517	3051	13	90.
518	3051	32	286.
519	3051	33	108.
520	3052	2	12 (1921/1922) 181.
521	3053	13	92.
522	3054	1	83 (1993) 297.
523	3055	3	I, 977.
524	3055	17	293.
525	3056	2	1 (1910) 184.
526	3059	1	85 (1995) 49.
527	3059	13	108.
528	3060	2	52 (1966) 167.
529	3061	2	38 (1952) 164.
530	3063	2	16 (1926) 179.
531	3063	3	I, 1137.
532	3064	1	85 (1995) 371.
533	3066	1	85 (1995) 444.
534	3067	2	48 (1962) 154.
535	3067	3	I, 1150.
536	3068	1	85 (1995) 465.
537	3070	2	30 (1944) 138.
538	3071	2	55 (1969) 140.
539	3074	1	87 (1998) 427.
540	3075	1	88 (1999) 252.
541	3076	1	88 (1999) 284.
542	3076	3	VIII, 1149.
