	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	Eindcontrole
976	1022	Noordbeek		1.0	4.0	J.H.	0					0		0	Overig: op 8 juni 1799 werd Noordbeek benoemd tot raadsheer in het Departementaal Gerechtshof van de Rijn, dat echter nooit heeft gefunctioneerd.	2	1
977	1024	Abels		1.0	1.0	Aeilko	0				1732.0	0	1810.0	0		2	1
978	1025	Bolhuis	Metting van	1.0	1.0	Coppius	0				1740.0	0	1810.0	0		2	1
979	1026	Bonthuis		1.0	1.0	Derk Aljes	0				1752.0	0	1818.0	0		2	1
980	1027	Busch		1.0	1.0	Izaäk	0				1739.0	0	1812.0	0		2	1
981	1028	Cock	de	1.0	1.0	Cornelis	0				1735.0	1	1810.0	1		2	1
982	1029	Boelens		1.0	1.0	Jacob Cornelisz.	0				1752.0	0	1808.0	0		2	1
983	1030	Kooi		1.0	1.0	Jan Cornelisz.	0				1755.0	0	1830.0	0		2	1
984	1031	Dekens		1.0	1.0	Johannes	0					0		0		2	1
985	1032	Derks		1.0	1.0	Wybe	0				1742.0	1	1807.0	0		2	1
986	1033	Driessen		1.0	4.0	Albert Pieter	0				1751.0	0	1826.0	0		2	1
987	1034	Ducellié		1.0	1.0	Everhardus	0				1745.0	0	1817.0	0		2	1
988	1035	Schuiringa		1.0	1.0	Evert Egbertsz.	0				1757.0	0	1814.0	0		2	1
989	1036	Kampen	van	1.0	1.0	Jacob Eisses	0				1745.0	1	1806.0	0		2	1
990	1037	Elema		1.0	1.0	Reinder	0				1764.0	0	1830.0	0		2	1
991	1038	Fockens		1.0	4.0	Jan Tiddo	0				1725.0	0	1801.0	0		2	1
992	1039	Frima		1.0	1.0	Jacob Reinders	0				1748.0	0	1823.0	0		2	1
993	1040	Graave	de	1.0	1.0	Eerhardus	0				1765.0	0	1808.0	0		2	1
994	1041	Hartsema		1.0	1.0	David	0				1731.0	0	1807.0	0		2	1
995	1042	Hemmes		1.0	1.0	Hemmo Wilhelmus	0				1757.0	0	1832.0	0		2	1
996	1043	Bolhuis		1.0	1.0	Jannes Hindriks	0				1733.0	0	1823.0	0		2	1
997	1044	Idsinga	van	1.0	4.0	Gulbartus	0				1756.0	0	1799.0	0		2	1
998	1045	Jans		1.0	1.0	Claas	0				1728.0	1	1803.0	0		2	1
999	1046	Dijkstra		1.0	1.0	Tijmen Jeltes	0				1739.0	0	1849.0	0		2	1
1000	1048	Kijff		1.0	1.0	Hermannus	0				1749.0	0	1817.0	0		2	1
1001	1049	Lohman	Bothenius	1.0	4.0	Louis	0				1738.0	0	1807.0	0		2	1
1002	1050	Luurts		1.0	1.0	Luitje	0				1740.0	0	1798.0	0		2	1
1003	1051	Meinderts		1.0	1.0	Pieter	0				1754.0	0	1799.0	0		2	1
