,lokaal_id,lokaal,old_idlokaal
324,324,Groenlo,"['batfra_298', 'negentiende_eeuw_228', 'republiek_44']"
325,325,Groenlo (plattelandsdistrict),['negentiende_eeuw_235']
326,326,Groningen,"['batfra_393', 'negentiende_eeuw_28']"
327,327,Gronsveld,['negentiende_eeuw_199']
328,328,Gulpen,['negentiende_eeuw_200']
329,329,Haaksbergen,['batfra_224']
330,330,Haarlem,"['batfra_468', 'negentiende_eeuw_29', 'me_15', 'republiek_3']"
331,331,Haastrecht,['negentiende_eeuw_126']
332,332,Harderwijk,"['batfra_264', 'negentiende_eeuw_30', 'republiek_47']"
333,333,Harlingen,"['batfra_399', 'negentiende_eeuw_168', 'divperioden_36']"
334,334,Harmelen,['negentiende_eeuw_81']
335,335,Haskerland,"['batfra_189', 'negentiende_eeuw_169', 'divperioden_23']"
336,336,Hasselt,['negentiende_eeuw_90']
337,337,Hattem,"['batfra_266', 'negentiende_eeuw_229', 'republiek_50']"
338,338,Havelte,"['batfra_429', 'negentiende_eeuw_71']"
339,339,Heerde,['batfra_274']
340,340,Heerde/Barneveld [Elspeet],['negentiende_eeuw_236']
341,341,Heerenveen,"['batfra_445', 'negentiende_eeuw_31']"
342,342,Heerlen,['negentiende_eeuw_32']
343,343,Heijthuizen,['negentiende_eeuw_207']
344,344,Heiloo,['negentiende_eeuw_127']
345,345,Heino,['batfra_229']
346,346,Hellendoorn,['batfra_230']
347,347,Hellevoetsluis,['negentiende_eeuw_128']
348,348,Helmond,['negentiende_eeuw_33']
349,349,Hemelumer Oldeferd,"['batfra_181', 'divperioden_20']"
350,350,"Hemelumer, Oldephert en Noordwolde",['negentiende_eeuw_170']
351,351,Hennaarderadeel,"['batfra_182', 'negentiende_eeuw_171', 'divperioden_12']"
352,352,Herk-de-stad,['negentiende_eeuw_218']
353,353,Het Bildt,"['batfra_187', 'negentiende_eeuw_196', 'divperioden_18']"
354,354,Heusden,"['batfra_472', 'negentiende_eeuw_34']"
355,355,Hilvarenbeek,['negentiende_eeuw_98']
356,356,Hindeloopen,"['batfra_444', 'divperioden_41']"
357,357,Hindelopen,['negentiende_eeuw_172']
358,358,Hoeksewaard,['batfra_486']
359,359,Hoevelaken,['batfra_283']
360,360,Hoge en Lage Zwaluwe,['batfra_493']
361,361,Holten en Bathmen,['batfra_231']
362,362,Hoogeveen,"['batfra_423', 'negentiende_eeuw_35']"
363,363,Hoogezand,['negentiende_eeuw_75']
364,364,Hoorn,"['batfra_455', 'negentiende_eeuw_36', 'republiek_14']"
365,365,Horst,['negentiende_eeuw_209']
366,366,Hulst,['negentiende_eeuw_111']
367,367,IJlst,"['batfra_396', 'negentiende_eeuw_192', 'divperioden_40']"
368,368,"IJsselham, Oldemarkt en Paasloo",['batfra_253']
369,369,IJsselmuiden,['batfra_254']
370,370,IJsselstein,['negentiende_eeuw_37']
371,371,Idaarderadeel,"['batfra_177', 'negentiende_eeuw_173', 'divperioden_1']"
372,372,Kampen,"['batfra_232', 'negentiende_eeuw_38', 'republiek_29']"
373,373,Kamperveen,['batfra_233']
374,374,Kessel,['negentiende_eeuw_208']
375,375,Koekange,['batfra_442']
376,376,Kolderveen,['batfra_426']
377,377,Kollumerland,"['batfra_190', 'divperioden_11']"
378,378,Kollumerland en Nieuw Kruisland,['negentiende_eeuw_174']
379,379,Koninksem,['negentiende_eeuw_219']
380,380,Krimpenerwaard,"['batfra_483', 'batfra_489']"
381,381,Kuinre en Blankenham,['batfra_236']
382,382,Kwartier Arnhem,['batfra_346']
383,383,Kwartier I Leiden,['batfra_376']
384,384,Kwartier II Hoorn,['batfra_380']
385,385,Kwartier II Rotterdam,['batfra_377']
386,386,Kwartier III Dordrecht,['batfra_378']
387,387,Kwartier IV Goeree en Overflakkee,['batfra_379']
388,388,Kwartier Kempenland,['batfra_370']
389,389,Kwartier Maasland,['batfra_368']
390,390,Kwartier Nijmegen,['batfra_348']
391,391,Kwartier Oisterwijk,['batfra_375']
392,392,Kwartier Peelland,['batfra_369']
393,393,Kwartier Zutphen,['batfra_347']
394,394,Kwartier van 's-Hertogenbosch,['batfra_382']
395,395,Kwartier van Breda,['batfra_381']
396,396,Kwartier van Eindhoven,['batfra_383']
397,397,Kwartier van Nijmegen,['batfra_343']
398,398,Kwartier van Zutphen,['batfra_344']
399,399,Kwartier van de Veluwe,['batfra_345']
400,400,Landgericht Almelo,['batfra_207']
401,401,Landgericht Delden,['batfra_213']
402,402,Landgericht Diepenheim,['batfra_259']
403,403,Landgericht Enschede,['batfra_217']
404,404,Landgericht Kedingen,['batfra_234']
405,405,Landgericht Oldenzaal,['batfra_238']
406,406,Landgericht Ootmarsum,['batfra_260']
407,407,Leerdam,['batfra_487']
408,408,Leeuwarden,"['batfra_397', 'negentiende_eeuw_39', 'divperioden_31', 'republiek_26']"
409,409,Leeuwarderadeel,"['batfra_175', 'negentiende_eeuw_175', 'divperioden_5']"
410,410,Leiden,"['batfra_480', 'negentiende_eeuw_40', 'me_16', 'republiek_5']"
411,411,Leiderdorp,['negentiende_eeuw_41']
412,412,Leidschendam,['negentiende_eeuw_129']
413,413,Leimuiden,['batfra_467']
414,414,Lemsterland,"['batfra_179', 'negentiende_eeuw_176', 'divperioden_21']"
415,415,Lochem,"['batfra_297', 'negentiende_eeuw_230', 'republiek_53']"
416,416,Maarsen,['negentiende_eeuw_79']
417,417,Maaseik,['negentiende_eeuw_222']
418,418,Maassluis,"['batfra_470', 'negentiende_eeuw_143']"
419,419,Maastricht,['negentiende_eeuw_42']
420,420,Markelo,"['batfra_235', 'negentiende_eeuw_92']"
421,421,Mechelen,['negentiende_eeuw_220']
422,422,Medemblik,"['batfra_462', 'negentiende_eeuw_144', 'republiek_18']"
423,423,Meerkerk,['negentiende_eeuw_130']
424,424,Meerssen,['negentiende_eeuw_201']
425,425,Menaldumadeel,"['batfra_172', 'negentiende_eeuw_177', 'divperioden_19']"
426,426,Meppel,"['batfra_431', 'negentiende_eeuw_68']"
427,427,Middelburg,"['batfra_357', 'negentiende_eeuw_43', 'me_1', 'republiek_20']"
428,428,Middelharnis,['negentiende_eeuw_154']
429,429,Monnickendam,"['batfra_448', 'negentiende_eeuw_145', 'republiek_17']"
430,430,Montfoort,"['negentiende_eeuw_83', 'republiek_35']"
431,431,Muiden,['negentiende_eeuw_151']
432,432,Naaldwijk,['negentiende_eeuw_152']
433,433,Naarden,['negentiende_eeuw_131']
434,434,Naarden en Gooiland,['batfra_469']
435,435,Nieuwer-Amstel,['negentiende_eeuw_153']
436,436,Nijbroek,['batfra_276']
437,437,Nijeveen,['batfra_419']
438,438,Nijkerk,"['batfra_269', 'negentiende_eeuw_231']"
439,439,Nijmegen,"['batfra_286', 'negentiende_eeuw_44', 'republiek_42']"
440,440,Nijmegen/Druten [Druten],['negentiende_eeuw_237']
441,441,Noord- en Zuid-Beveland,['batfra_387']
442,442,Noord-Beveland en Wolphaartsdijk,['batfra_367']
443,443,Noordwijk,['negentiende_eeuw_132']
444,444,Norg,['batfra_434']
445,445,Odoorn,['batfra_439']
446,446,Oegstgeest,['negentiende_eeuw_133']
447,447,Oirsbeek,['negentiende_eeuw_203']
448,448,Oirschot/Boxtel,['negentiende_eeuw_97']
449,449,Oisterwijk,['negentiende_eeuw_100']
450,450,Oldebroek,"['batfra_273', 'negentiende_eeuw_244']"
451,451,Oldenzaal,['negentiende_eeuw_93']
452,452,Olst,['batfra_239']
